P0;0;1024;2
P0;1024;1024;2
P0;2048;795;2
P1;3072;1024;4
P1;4096;222;4
P2;5120;1024;7
P2;6144;1024;7
P2;7168;924;7
P3;8192;1024;9
P3;9216;76;9
P4;10240;482;10
P5;11264;1024;12
P5;12288;374;12
P6;13312;1024;14
P6;14336;456;14
P7;15360;109;15
P8;16384;1024;18
P8;17408;1024;18
P8;18432;595;18
P9;19456;1024;21
P9;20480;1024;21
P9;21504;660;21
P10;22528;1024;23
P10;23552;595;23
P11;24576;1024;25
P11;25600;536;25
P12;26624;1024;28
P12;27648;1024;28
P12;28672;243;28
P13;29696;1024;31
P13;30720;1024;31
P13;31744;1023;31
P14;32768;1024;35
P14;33792;1024;35
P14;34816;1024;35
P14;35840;108;35
P15;36864;1024;39
P15;37888;1024;39
P15;38912;1024;39
P15;39936;225;39
P16;40960;1024;41
P16;41984;577;41
P17;43008;1024;44
P17;44032;1024;44
P17;45056;229;44
P18;46080;1024;46
P18;47104;674;46
P19;48128;1024;48
P19;49152;303;48
P20;50176;1024;51
P20;51200;1024;51
P20;52224;502;51
P21;53248;984;52
P22;54272;617;53
P23;55296;1024;56
P23;56320;1024;56
P23;57344;577;56
P24;58368;796;57
P25;59392;1024;59
P25;60416;159;59
P26;61440;1024;62
P26;62464;1024;62
P26;63488;598;62
P27;64512;284;63
P28;65536;825;64
P29;66560;416;65
P30;67584;1024;67
P30;68608;135;67
P31;69632;1024;69
P31;70656;904;69
P32;71680;708;70
P33;72704;578;71
P34;73728;1024;73
P34;74752;126;73
P35;75776;1024;75
P35;76800;372;75
P36;77824;1024;78
P36;78848;1024;78
P36;79872;442;78
P37;80896;1024;80
P37;81920;869;80
P38;82944;1024;82
P38;83968;329;82
P39;84992;293;83
P40;86016;1024;86
P40;87040;1024;86
P40;88064;372;86
P41;89088;685;87
P42;90112;1024;89
P42;91136;775;89
P43;92160;580;90
P44;93184;1024;92
P44;94208;753;92
P45;95232;907;93
P46;96256;1024;96
P46;97280;1024;96
P46;98304;272;96
P47;99328;105;97
P48;100352;998;98
P49;101376;1024;100
P49;102400;712;100
P50;103424;1024;104
P50;104448;1024;104
P50;105472;1024;104
P50;106496;1;104
P51;107520;459;105
P52;108544;29;106
P53;109568;254;107
P54;110592;956;108
P55;111616;195;109
P56;112640;1024;112
P56;113664;1024;112
P56;114688;62;112
P57;115712;1024;114
P57;116736;558;114
P58;117760;1024;117
P58;118784;1024;117
P58;119808;699;117
P59;120832;144;118
P60;121856;1024;120
P60;122880;862;120
P61;123904;1024;123
P61;124928;1024;123
P61;125952;827;123
P62;126976;1024;125
P62;128000;579;125
M13;129024;1024;0
M13;130048;1024;0
M13;131072;1024;0
M13;132096;1024;0
M13;133120;1024;0
M13;134144;1024;0
M13;135168;1024;0
M13;136192;560;0
P63;137216;1024;136
